Descriptor,Count
tremend,305
100_variet,226
wine,70651
hail,117
oakvill,134
age,10316
three_year,190
compel,406
hint,7992
greet,160
palat,19818
frame,1640
fine,7208
tannin,26238
subtl,1744
tone,3172
background,723
balanc,12463
reward,410
start,2175
finish,32583
year,5960
ahead,119
develop,2031
nuanc,1658
enjoy,1808
aroma,26048
soften,1368
slather,53
full,5859
layer,4727
intens,7154
cushion,178
flavor,63827
black,19176
ideal,222
drink,14620
2023,66
spent,199
20,625
month,895
30,403
new_french,657
incorpor,32
ponzi,37
vineyard,5052
among,427
aromat,2288
deft,211
blend,8241
sheen,36
load,1960
pure,2679
open,5947
bell,82
toro,131
winner,124
cool,929
moder,999
feel,7069
massiv,652
exemplari,52
slight,5535
includ,1491
note,17872
along,3476
satur,576
ensur,68
corner,81
one,5374
mouth,8140
cover,166
high,2225
impress,3422
express,2534
settl,491
nice,6797
long,6061
2024,74
lux,11
offer,10440
bruiser,71
still,4103
friend,691
key,91
wallflow,7
sea,131
blackcolor,30
former,99
bottl,4766
find,1339
strike,328
underscor,178
accent,3619
comingl,7
except,843
midpal,1017
cellar,2869
though,1517
alreadi,1308
quit,3148
2030,53
produc,2310
sourc,1086
two,991
block,348
elev,320
contribut,259
acid,29801
surround,334
textur,10316
present,825
delic,2575
consider,653
structur,10463
come_togeth,548
dropdead,11
gorgeous,862
rank,93
itali,170
greatest,96
sublim,28
orchard,88
scent,2828
delici,5668
seamless,399
combin,1610
grace,788
linger,2174
vine,809
wellbalanc,397
effort,1015
breakfast,55
superbl,71
integr,1841
even,2675
earli,542
stage,613
seem,4265
destin,45
life,293
2028,17
standout,127
terrif,285
lineup,193
2015,456
releas,977
burst,1186
continu,721
detail,587
discreet,19
thread,181
peak,193
condit,98
secondari,179
domin,3020
well,8412
skin,673
major,199
right,2428
point,1119
matur,2616
sophist,1029
mix,3289
seduct,568
pleas,869
got,421
touch,7713
streak,1591
element,2120
good,13172
proport,386
appeal,1937
give,8250
anoth,1128
decad,1147
first,1967
made,4151
2006,557
luscious,1033
chardonnay,4947
core,2873
endless,78
biodynam,164
farm,179
bring,2331
spend,66
18_month,139
prior,121
blockbust,153
powerhous,148
suggest,3019
glass,1551
season,169
amidst,85
char,1154
sultri,98
outstand,246
excel,1718
forward,2250
barrelspic,7
adorn,41
run,982
tast,6672
vagu,60
topnotch,71
tempranillo,432
come,4428
sevenacr,6
name,1020
properti,256
magnific,106
28,62
great,5437
sign,294
pedigre,201
also,5952
new,1697
make,5477
longterm_age,149
drink_2022,102
live,3118
beauti,3950
craft,444
blossom,774
readi,691
tabl,356
stellar,126
rosé,885
rare,301
grape,3270
sinc,243
rubi,149
highlight,870
allur,242
everi,377
base,881
overal,1943
cohes,10
special,389
rioja,481
2020,247
2035,13
appropri,176
size,344
magnitud,6
tinta,24
de,532
apoge,7
ambiti,61
wineri,2378
clone,221
show,17644
focus,1643
marcona,10
nose,10842
cut,1349
san,165
adam,24
head,189
feet,56
mountain,891
wild,1390
lead,2525
follow,2902
wave,782
menthollik,27
sensat,451
yield,561
potenti,773
least,1444
2025,122
outlin,18
befor,1185
end,2453
flurri,19
bergström,7
shea,24
design,342
2003,369
intent,44
showcas,333
pretti,4011
style,5406
love,2418
red,13787
generous,2310
captur_essenc,51
50,247
strong,2861
vein,265
broaden,131
penetr,616
decant,863
want,1037
crush,1212
franscioni,8
famili,680
abound,150
energi,96
drive,347
district,52
shake,26
blackol,14
lili,23
nt,2629
hold,1759
back,3062
sens,867
complet,907
demand,234
attent,213
see,497
onli,2060
remain,1027
veer,222
brash,42
loud,123
steep,108
spirit,277
unfold,371
big,4710
chewi,2137
palat_dole,186
ground,562
alongsid,1562
detect,102
alcohol,2635
charact,6533
aftertast,1621
loir,62
river,199
entic,426
till_soil,72
whiff,1056
2018–2023,15
gingeri,16
medium,970
classic,2365
tuscan,162
drink_2020,278
charm,651
boast,1248
easydrink,587
much,3265
deliv,3408
provid_framework,93
darkskin,69
provid,1448
framework,106
2019,89
color,2335
profil,753
corna,49
reminisc,303
chocol_fudg,206
drink_now–2025,57
90,112
sangioves,1587
10,802
canaiolo,86
pack,2037
support,1146
sunbak,55
meld,318
malbec,1670
cabernet_franc,1181
petit_verdot,991
perenni,35
sister,44
brand,415
cuvaison,15
sustain,96
time,2746
match,774
access,523
need,2744
best,4085
2021,149
initi,759
simultan,40
almost,4143
next,1481
drinkabl,1037
better,1568
2017,274
lift,1385
still_young,477
go,2494
mean,515
parcel,176
work,889
seven,122
men,9
day,280
drink_2017,481
lot,3327
like,7252
price,2957
sever,453
region,776
expand,140
meet,205
approach,1320
crowdpleas,93
measur,313
cabernet,4073
grand,177
ciel,19
31,42
ciel_du,71
cheval,91
klipsun,100
11,153
front,791
young,3511
grown,475
moment,325
drink_2018,422
riesl,1830
render,236
especi,730
foot,55
brighten,635
40,315
merlot,5217
cabernet_sauvignon,3286
25,291
syrah,4656
roast,2154
drink_2019,186
welloak,120
lend,774
freshcut,89
form,782
welcom,392
albeit,91
tartar,81
agreeabl,18
mort,7
northern,129
extens,39
fourchaum,16
premier_cru,102
call,748
becaus,987
local,116
justic,27
often,363
cooler,202
